starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 30 17:58:46 2011	1322704726	0	358	358	358
Wed Nov 30 17:54:17 2011	1322704457	0	358	358	358
Wed Nov 30 17:54:02 2011	1322704442	0	358	358	358
Wed Nov 30 17:58:43 2011	1322704723	0	359	359	359
Wed Nov 30 17:53:54 2011	1322704434	0	359	359	359
Wed Nov 30 17:58:46 2011	1322704726	0	359	359	359
Wed Nov 30 17:58:42 2011	1322704722	0	359	359	359
Wed Nov 30 17:54:05 2011	1322704445	0	359	359	359
Wed Nov 30 17:54:01 2011	1322704441	0	359	359	359
Wed Nov 30 17:58:48 2011	1322704728	0	359	359	359
Wed Nov 30 17:53:55 2011	1322704435	0	359	359	359
Wed Nov 30 17:53:55 2011	1322704435	0	360	360	360
Wed Nov 30 17:53:55 2011	1322704435	0	360	360	360
Wed Nov 30 17:54:11 2011	1322704451	0	360	360	360
Wed Nov 30 17:53:53 2011	1322704433	0	360	360	360
Wed Nov 30 17:58:32 2011	1322704712	0	360	360	359
Wed Nov 30 17:54:08 2011	1322704448	0	360	360	360
Wed Nov 30 17:58:46 2011	1322704726	0	360	360	360
Wed Nov 30 17:58:40 2011	1322704720	0	360	360	360
Wed Nov 30 17:54:05 2011	1322704445	0	360	360	360
Wed Nov 30 17:54:00 2011	1322704440	0	360	360	360
Wed Nov 30 17:58:45 2011	1322704725	0	361	361	361
Wed Nov 30 17:53:53 2011	1322704433	0	361	361	361
Wed Nov 30 17:54:13 2011	1322704453	0	361	361	361
Wed Nov 30 17:54:01 2011	1322704441	0	361	361	361
Wed Nov 30 17:53:55 2011	1322704435	0	361	361	361
Wed Nov 30 17:54:17 2011	1322704457	0	362	362	362
Wed Nov 30 17:54:15 2011	1322704455	0	362	362	362
Wed Nov 30 17:58:43 2011	1322704723	0	362	362	362
Wed Nov 30 17:58:33 2011	1322704713	0	362	362	362
Wed Nov 30 17:54:17 2011	1322704457	0	362	362	362
Wed Nov 30 17:58:40 2011	1322704720	0	363	363	363
Wed Nov 30 17:58:46 2011	1322704726	0	363	363	363
